handle,url,credibility_tier,credibility_note,enabled
FabrizioRomano,https://x.com/FabrizioRomano,1,Tier-1 football journalist; benchmark for 'here we go' confirmations,1
David_Ornstein,https://x.com/David_Ornstein,1,Tier-1 football journalist; exclusives reliably accurate,1
BenJacobs_,https://x.com/JacobsBen,1,Tier-1 football journalist; well sourced across Europe,1
GuillemBalague,https://x.com/GuillemBalague,2,Reliable Spanish-football specialist; strong on La Liga,1
SkySportsNews,https://x.com/SkySportsNews,2,Major broadcaster; reliable but usually aggregates rather than breaks,1
ShamsCharania,https://x.com/ShamsCharania,1,Tier-1 NBA insider (ESPN); breaks the biggest NBA stories,1
ChrisBHaynes,https://x.com/ChrisBHaynes,2,"NBA insider; reliable, occasionally ahead on player-camp intel",1
TheSteinLine,https://x.com/TheSteinLine,3,NBA Insider; reliable,1
ESPNNBA,https://x.com/ESPNNBA,3,ESPN NBA Aggregator; usually reposts quickly info from trusted sources,1
JakeLFischer,https://x.com/JakeLFischer,3,NBA Insider; reliable,1
